WU_PRTNO,WU_DESC
571-073682-37570,"CONFIG,TM,VTM, 2300"
571-073682-37578,"CONFIG,TM,VTM, 2300"
571-073682-37669,"CONFIG,TM,VTM, 2300"
571-073682-37678,"CONFIG,TM,VTM, 2300"
571-073682-37890,"CONFIG,TM,VTM, 2300"
571-073682-37891,"CONFIG,TM,VTM, 2300"
571-073682-37892,"CONFIG,TM,VTM, 2300"
571-073682-37893,"CONFIG,TM,VTM, 2300"
571-073682-37903,"CONFIG,TM,VTM, 2300"
571-073682-37975,"CONFIG,TM,VTM, 2300"
571-073682-37976,"CONFIG,TM,VTM, 2300"
571-073682-37978,"CONFIG,TM,VTM, 2300"
571-073682-38061,"CONFIG,TM,VTM, 2300"
571-073682-38062,"CONFIG,TM,VTM, 2300"
571-073682-38063,"CONFIG,TM,VTM, 2300"
571-073682-38064,"CONFIG,TM,VTM, 2300"
571-073682-38070,"CONFIG,TM,VTM, 2300"
571-073682-38267,"CONFIG,TM,VTM, 2300"
571-073682-38271,"CONFIG,TM,VTM, 2300"
571-073682-38273,"CONFIG,TM,VTM, 2300"
571-073682-38276,"CONFIG,TM,VTM, 2300"
571-073682-38355,"CONFIG,TM,VTM, 2300"
571-073682-38372,"CONFIG,TM,VTM, 2300"
571-073682-38482,"CONFIG,TM,VTM, 2300"
571-073682-38575,"CONFIG,TM,VTM, 2300"
571-073682-38580,"CONFIG,TM,VTM, 2300"
571-073682-38598,"CONFIG,TM,VTM, 2300"
571-073682-38603,"CONFIG,TM,VTM, 2300"
571-073682-38690,"CONFIG,TM,VTM, 2300"
571-073682-39130,"CONFIG,TM,VTM, 2300"
571-073682-39131,"CONFIG,TM,VTM, 2300"
571-073682-39147,"CONFIG,TM,VTM, 2300"
571-073682-39190,"CONFIG,TM,VTM, 2300"
571-073682-39191,"CONFIG,TM,VTM, 2300"
571-073682-39193,"CONFIG,TM,VTM, 2300"
571-073682-39196,"CONFIG,TM,VTM, 2300"
571-073682-39197,"CONFIG,TM,VTM, 2300"
571-073682-39199,"CONFIG,TM,VTM, 2300"
571-073682-39203,"CONFIG,TM,VTM, 2300"
571-073682-39208,"CONFIG,TM,VTM, 2300"
571-073682-39214,"CONFIG,TM,VTM, 2300"
571-073682-39215,"CONFIG,TM,VTM, 2300"
571-073682-39216,"CONFIG,TM,VTM, 2300"
571-073682-39217,"CONFIG,TM,VTM, 2300"
571-073682-39220,"CONFIG,TM,VTM, 2300"
571-073682-39226,"CONFIG,TM,VTM, 2300"
571-073682-39227,"CONFIG,TM,VTM, 2300"
571-073682-39237,"CONFIG,TM,VTM, 2300"
571-073682-39238,"CONFIG,TM,VTM, 2300"
571-073682-39242,"CONFIG,TM,VTM, 2300"
571-073682-39243,"CONFIG,TM,VTM, 2300"
571-073682-39244,"CONFIG,TM,VTM, 2300"
571-073682-39261,"CONFIG,TM,VTM, 2300"
571-073682-39344,"CONFIG,TM,VTM, 2300"
571-073682-39351,"CONFIG,TM,VTM, 2300"
571-073682-39356,"CONFIG,TM,VTM, 2300"
571-073682-39359,"CONFIG,TM,VTM, 2300"
571-073682-39360,"CONFIG,TM,VTM, 2300"
571-073682-39361,"CONFIG,TM,VTM, 2300"
571-073682-39377,"CONFIG,TM,VTM, 2300"
571-073682-39378,"CONFIG,TM,VTM, 2300"
571-073682-39379,"CONFIG,TM,VTM, 2300"
571-073682-39381,"CONFIG,TM,VTM, 2300"
571-073682-39383,"CONFIG,TM,VTM, 2300"
571-073682-39408,"CONFIG,TM,VTM, 2300"
571-073682-39498,"CONFIG,TM,VTM, 2300"
571-073682-39501,"CONFIG,TM,VTM, 2300"
571-073682-39505,"CONFIG,TM,VTM, 2300"
571-073682-39506,"CONFIG,TM,VTM, 2300"
571-073682-39609,"CONFIG,TM,VTM, 2300"
571-073682-39614,"CONFIG,TM,VTM, 2300"
571-073682-39615,"CONFIG,TM,VTM, 2300"
571-073682-39618,"CONFIG,TM,VTM, 2300"
571-073682-39630,"CONFIG,TM,VTM, 2300"
